,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,111,2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,116.7142857
,112,2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,196.5714286
,113,2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,336.3214286
,114,2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,488.3571429
,115,2010,2,201002,Darwin,Perth,Darwin - Perth,398,611.2142857
,116,2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,672.6428571
,117,2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,414.6428571
,118,2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,380.8571429
,119,2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,557.4642857
,120,2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,116.7142857
,121,2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,411.5714286
,122,2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,583.5714286
,123,2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,101.3571429
,124,2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,319.4285714
,125,2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,545.1785714
,126,2010,2,201002,Karratha,Perth,Karratha - Perth,368,565.1428571
,127,2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,158.1785714
,128,2010,2,201002,Launceston,Sydney,Launceston - Sydney,209.9,322.3464286
,129,2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,301
,130,2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,396.2142857
,131,2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,208.8571429
,132,2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,230.3571429
,133,2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,549.7857143
,134,2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,101.3571429
,135,2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,230.3571429
,136,2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,658.8214286
,137,2010,2,201002,Perth,Newman,Perth - Newman,358,549.7857143
,138,2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,503.7142857
,139,2010,2,201002,Perth,Sydney,Perth - Sydney,434,666.5
,140,2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,242.6428571
,141,2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,345.5357143
,142,2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,380.8571429
,143,2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,328.6428571
,144,2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,168.9285714
,145,2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,365.5
,146,2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,420.7857143
,147,2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,580.5
,148,2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,239.5714286
,149,2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,132.0714286
,150,2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,549.7857143
,151,2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,326.8921429
,152,2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,162.7857143
