,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,8516,2020,1,202001,Melbourne,Newcastle,Melbourne - Newcastle,157,196.8559177
,8517,2020,1,202001,Paraburdoo,Perth,Paraburdoo - Perth,746,935.3790738
,8518,2020,1,202001,Perth,Newman,Perth - Newman,638,799.9622642
,8519,2020,1,202001,Perth,Port Hedland,Perth - Port Hedland,398,499.0360206
,8520,2020,1,202001,Perth,Sydney,Perth - Sydney,390,489.0051458
,8521,2020,1,202001,Port Macquarie,Sydney,Port Macquarie - Sydney,278,348.5728988
,8522,2020,1,202001,Proserpine,Sydney,Proserpine - Sydney,368,461.4202401
,8523,2020,1,202001,Sydney,Tamworth,Sydney - Tamworth,270,338.542024
,8524,2020,1,202001,Sydney,Townsville,Sydney - Townsville,275,344.8113208
,8525,2020,1,202001,Sydney,Wagga Wagga,Sydney - Wagga Wagga,345.89,433.6974099
,8526,2020,1,202001,Newcastle,Gold Coast,Newcastle - Gold Coast,187,234.4716981
,8527,2020,2,202002,Adelaide,Alice Springs,Adelaide - Alice Springs,468,586.806175
,8528,2020,2,202002,Adelaide,Brisbane,Adelaide - Brisbane,220,275.8490566
,8529,2020,2,202002,Adelaide,Canberra,Adelaide - Canberra,521,653.2607204
,8530,2020,2,202002,Adelaide,Darwin,Adelaide - Darwin,384,481.4819897
,8531,2020,2,202002,Adelaide,Gold Coast,Adelaide - Gold Coast,274,343.5574614
,8532,2020,2,202002,Adelaide,Melbourne,Adelaide - Melbourne,167,209.3945111
,8533,2020,2,202002,Adelaide,Perth,Adelaide - Perth,399,500.2898799
,8534,2020,2,202002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,260.16,326.204048
,8535,2020,2,202002,Adelaide,Sydney,Adelaide - Sydney,198,248.2641509
,8536,2020,2,202002,Albury,Sydney,Albury - Sydney,308,386.1886792
,8537,2020,2,202002,Armidale,Sydney,Armidale - Sydney,279.52,350.478765
,8538,2020,2,202002,Avalon,Sydney,Avalon - Sydney,110,137.9245283
,8539,2020,2,202002,Ayers Rock,Sydney,Ayers Rock - Sydney,222,278.3567753
,8540,2020,2,202002,Ballina,Sydney,Ballina - Sydney,130,163.0017153
,8541,2020,2,202002,Brisbane,Cairns,Brisbane - Cairns,200,250.7718696
,8542,2020,2,202002,Brisbane,Canberra,Brisbane - Canberra,200,250.7718696
,8543,2020,2,202002,Brisbane,Darwin,Brisbane - Darwin,244,305.941681
,8544,2020,2,202002,Brisbane,Emerald,Brisbane - Emerald,466,584.2984563
,8545,2020,2,202002,Brisbane,Gladstone,Brisbane - Gladstone,218,273.3413379
,8546,2020,2,202002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,330,413.7735849
,8547,2020,2,202002,Brisbane,Hobart,Brisbane - Hobart,305,382.4271012
,8548,2020,2,202002,Brisbane,Mackay,Brisbane - Mackay,176,220.6792453
,8549,2020,2,202002,Brisbane,Melbourne,Brisbane - Melbourne,198,248.2641509
,8550,2020,2,202002,Brisbane,Mount Isa,Brisbane - Mount Isa,778,975.5025729
,8551,2020,2,202002,Brisbane,Perth,Brisbane - Perth,690,865.1629503
,8552,2020,2,202002,Brisbane,Proserpine,Brisbane - Proserpine,248,310.9571184
,8553,2020,2,202002,Brisbane,Rockhampton,Brisbane - Rockhampton,278,348.5728988
,8554,2020,2,202002,Brisbane,Sydney,Brisbane - Sydney,150,188.0789022
,8555,2020,2,202002,Brisbane,Townsville,Brisbane - Townsville,193,241.9948542
,8556,2020,2,202002,Brisbane,Newcastle,Brisbane - Newcastle,118,147.9554031
,8557,2020,2,202002,Broome,Perth,Broome - Perth,530,664.5454545
,8558,2020,2,202002,Bundaberg,Brisbane,Bundaberg - Brisbane,282,353.5883362
,8559,2020,2,202002,Cairns,Gold Coast,Cairns - Gold Coast,266,333.5265866
,8560,2020,2,202002,Cairns,Melbourne,Cairns - Melbourne,250,313.464837
,8561,2020,2,202002,Cairns,Sydney,Cairns - Sydney,250,313.464837
,8562,2020,2,202002,Cairns,Townsville,Cairns - Townsville,238.52,299.0705317
,8563,2020,2,202002,Canberra,Melbourne,Canberra - Melbourne,218,273.3413379
,8564,2020,2,202002,Canberra,Sydney,Canberra - Sydney,318.02,398.7523499
,8565,2020,2,202002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,180,225.6946827
,8566,2020,2,202002,Darwin,Melbourne,Darwin - Melbourne,409,512.8284734
,8567,2020,2,202002,Darwin,Perth,Darwin - Perth,688,862.6552316
,8568,2020,2,202002,Darwin,Sydney,Darwin - Sydney,405,507.813036
,8569,2020,2,202002,Devonport,Melbourne,Devonport - Melbourne,379,475.212693
,8570,2020,2,202002,Dubbo,Sydney,Dubbo - Sydney,392.38,491.989331
,8571,2020,2,202002,Gold Coast,Sydney,Gold Coast - Sydney,110,137.9245283
,8572,2020,2,202002,Hamilton Island,Sydney,Hamilton Island - Sydney,258,323.4957118
,8573,2020,2,202002,Hobart,Melbourne,Hobart - Melbourne,112,140.432247
,8574,2020,2,202002,Hobart,Sydney,Hobart - Sydney,251,314.7186964
,8575,2020,2,202002,Kalgoorlie,Perth,Kalgoorlie - Perth,358,448.8816467
,8576,2020,2,202002,Karratha,Perth,Karratha - Perth,639,801.2161235
,8577,2020,2,202002,Launceston,Melbourne,Launceston - Melbourne,126,157.9862779
,8578,2020,2,202002,Launceston,Sydney,Launceston - Sydney,287,359.8576329
,8579,2020,2,202002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,298,373.6500858
,8580,2020,2,202002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,220,275.8490566
,8581,2020,2,202002,Melbourne,Gold Coast,Melbourne - Gold Coast,190,238.2332762
,8582,2020,2,202002,Melbourne,Mildura,Melbourne - Mildura,290,363.619211
,8583,2020,2,202002,Melbourne,Perth,Melbourne - Perth,430,539.1595197
,8584,2020,2,202002,Melbourne,Sydney,Melbourne - Sydney,163,204.3790738
,8585,2020,2,202002,Melbourne,Townsville,Melbourne - Townsville,506,634.4528302
,8586,2020,2,202002,Melbourne,Newcastle,Melbourne - Newcastle,223,279.6106346
,8587,2020,2,202002,Paraburdoo,Perth,Paraburdoo - Perth,729,914.0634648
,8588,2020,2,202002,Perth,Newman,Perth - Newman,658,825.0394511
,8589,2020,2,202002,Perth,Port Hedland,Perth - Port Hedland,575,720.9691252
,8590,2020,2,202002,Perth,Sydney,Perth - Sydney,444,556.7135506
,8591,2020,2,202002,Port Macquarie,Sydney,Port Macquarie - Sydney,290,363.619211
,8592,2020,2,202002,Proserpine,Sydney,Proserpine - Sydney,294,368.6346484
,8593,2020,2,202002,Sydney,Tamworth,Sydney - Tamworth,270,338.542024
,8594,2020,2,202002,Sydney,Townsville,Sydney - Townsville,287,359.8576329
,8595,2020,2,202002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,380.3,476.8427101
,8596,2020,2,202002,Newcastle,Gold Coast,Newcastle - Gold Coast,207,259.5488851
,8597,2020,3,202003,Adelaide,Alice Springs,Adelaide - Alice Springs,519,650.7530017
,8598,2020,3,202003,Adelaide,Brisbane,Adelaide - Brisbane,384,481.4819897
,8599,2020,3,202003,Adelaide,Canberra,Adelaide - Canberra,548,687.1149228
,8600,2020,3,202003,Adelaide,Darwin,Adelaide - Darwin,508,636.9605489
,8601,2020,3,202003,Adelaide,Gold Coast,Adelaide - Gold Coast,337,422.5506003
,8602,2020,3,202003,Adelaide,Melbourne,Adelaide - Melbourne,193,241.9948542
,8603,2020,3,202003,Adelaide,Perth,Adelaide - Perth,523,655.7684391
,8604,2020,3,202003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,260.15,326.1915094
,8605,2020,3,202003,Adelaide,Sydney,Adelaide - Sydney,280,351.0806175
,8606,2020,3,202003,Albury,Sydney,Albury - Sydney,308,386.1886792
,8607,2020,3,202003,Armidale,Sydney,Armidale - Sydney,342,428.8198971
,8608,2020,3,202003,Avalon,Sydney,Avalon - Sydney,196,245.7564322
,8609,2020,3,202003,Ayers Rock,Sydney,Ayers Rock - Sydney,386,483.9897084
,8610,2020,3,202003,Ballina,Sydney,Ballina - Sydney,294,368.6346484
,8611,2020,3,202003,Brisbane,Cairns,Brisbane - Cairns,212,265.8181818
,8612,2020,3,202003,Brisbane,Canberra,Brisbane - Canberra,350,438.8507719
,8613,2020,3,202003,Brisbane,Darwin,Brisbane - Darwin,694,870.1783877
,8614,2020,3,202003,Brisbane,Emerald,Brisbane - Emerald,535,670.8147513
,8615,2020,3,202003,Brisbane,Gladstone,Brisbane - Gladstone,282,353.5883362
,8616,2020,3,202003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,748,937.8867925
,8617,2020,3,202003,Brisbane,Hobart,Brisbane - Hobart,432,541.6672384
,8618,2020,3,202003,Brisbane,Mackay,Brisbane - Mackay,293,367.380789
,8619,2020,3,202003,Brisbane,Melbourne,Brisbane - Melbourne,318,398.7272727
,8620,2020,3,202003,Brisbane,Mount Isa,Brisbane - Mount Isa,868,1088.349914
,8621,2020,3,202003,Brisbane,Perth,Brisbane - Perth,815,1021.895369
,8622,2020,3,202003,Brisbane,Proserpine,Brisbane - Proserpine,171,214.4099485
,8623,2020,3,202003,Brisbane,Rockhampton,Brisbane - Rockhampton,308,386.1886792
,8624,2020,3,202003,Brisbane,Sydney,Brisbane - Sydney,237,297.1646655
,8625,2020,3,202003,Brisbane,Townsville,Brisbane - Townsville,263,329.7650086
,8626,2020,3,202003,Brisbane,Newcastle,Brisbane - Newcastle,162,203.1252144
,8627,2020,3,202003,Broome,Perth,Broome - Perth,715,896.509434
,8628,2020,3,202003,Bundaberg,Brisbane,Bundaberg - Brisbane,299.01,374.9164837
,8629,2020,3,202003,Cairns,Gold Coast,Cairns - Gold Coast,260,326.0034305
,8630,2020,3,202003,Cairns,Melbourne,Cairns - Melbourne,405,507.813036
,8631,2020,3,202003,Cairns,Sydney,Cairns - Sydney,454,569.2521441
,8632,2020,3,202003,Cairns,Townsville,Cairns - Townsville,280.32,351.4818525
,8633,2020,3,202003,Canberra,Melbourne,Canberra - Melbourne,243,304.6878216
,8634,2020,3,202003,Canberra,Sydney,Canberra - Sydney,318.02,398.7523499
,8635,2020,3,202003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,270,338.542024
,8636,2020,3,202003,Darwin,Melbourne,Darwin - Melbourne,409,512.8284734
,8637,2020,3,202003,Darwin,Perth,Darwin - Perth,789,989.2950257
,8638,2020,3,202003,Darwin,Sydney,Darwin - Sydney,659,826.2933105
,8639,2020,3,202003,Devonport,Melbourne,Devonport - Melbourne,406,509.0668954
,8640,2020,3,202003,Dubbo,Sydney,Dubbo - Sydney,392.37,491.9767925
,8641,2020,3,202003,Gold Coast,Sydney,Gold Coast - Sydney,183,229.4562607
,8642,2020,3,202003,Hamilton Island,Sydney,Hamilton Island - Sydney,728,912.8096055
,8643,2020,3,202003,Hobart,Melbourne,Hobart - Melbourne,198,248.2641509
,8644,2020,3,202003,Hobart,Sydney,Hobart - Sydney,400,501.5437393
,8645,2020,3,202003,Kalgoorlie,Perth,Kalgoorlie - Perth,378,473.9588336
,8646,2020,3,202003,Karratha,Perth,Karratha - Perth,639,801.2161235
,8647,2020,3,202003,Launceston,Melbourne,Launceston - Melbourne,204,255.787307
,8648,2020,3,202003,Launceston,Sydney,Launceston - Sydney,438,549.1903945
,8649,2020,3,202003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,426,534.1440823
,8650,2020,3,202003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,346,433.8353345
,8651,2020,3,202003,Melbourne,Gold Coast,Melbourne - Gold Coast,250,313.464837
,8652,2020,3,202003,Melbourne,Mildura,Melbourne - Mildura,290,363.619211
,8653,2020,3,202003,Melbourne,Perth,Melbourne - Perth,504,631.9451115
,8654,2020,3,202003,Melbourne,Sydney,Melbourne - Sydney,188,235.7255575
,8655,2020,3,202003,Melbourne,Townsville,Melbourne - Townsville,433,542.9210978
,8656,2020,3,202003,Melbourne,Newcastle,Melbourne - Newcastle,190,238.2332762
,8657,2020,3,202003,Paraburdoo,Perth,Paraburdoo - Perth,729,914.0634648
,8658,2020,3,202003,Perth,Newman,Perth - Newman,708,887.7324185
,8659,2020,3,202003,Perth,Port Hedland,Perth - Port Hedland,646,809.9931389
,8660,2020,3,202003,Perth,Sydney,Perth - Sydney,635,796.2006861
,8661,2020,3,202003,Port Macquarie,Sydney,Port Macquarie - Sydney,356,446.373928
,8662,2020,3,202003,Proserpine,Sydney,Proserpine - Sydney,608,762.3464837
,8663,2020,3,202003,Sydney,Tamworth,Sydney - Tamworth,270,338.542024
,8664,2020,3,202003,Sydney,Townsville,Sydney - Townsville,345,432.5814751
,8665,2020,3,202003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,343.99,431.3150772
,8666,2020,3,202003,Newcastle,Gold Coast,Newcastle - Gold Coast,268,336.0343053
,8667,2020,4,202004,Adelaide,Melbourne,Adelaide - Melbourne,130,166.1363636
,8668,2020,4,202004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,346,442.1783217
,8669,2020,4,202004,Adelaide,Sydney,Adelaide - Sydney,162,207.0314685
,8670,2020,4,202004,Albury,Sydney,Albury - Sydney,342,437.0664336
,8671,2020,4,202004,Brisbane,Cairns,Brisbane - Cairns,280,357.8321678
,8672,2020,4,202004,Brisbane,Darwin,Brisbane - Darwin,650,830.6818182
,8673,2020,4,202004,Brisbane,Emerald,Brisbane - Emerald,368,470.2937063
,8674,2020,4,202004,Brisbane,Gladstone,Brisbane - Gladstone,252,322.048951
,8675,2020,4,202004,Brisbane,Mackay,Brisbane - Mackay,290,370.6118881
,8676,2020,4,202004,Brisbane,Melbourne,Brisbane - Melbourne,369,471.5716783
,8677,2020,4,202004,Brisbane,Mount Isa,Brisbane - Mount Isa,794,1014.70979
,8678,2020,4,202004,Brisbane,Perth,Brisbane - Perth,690,881.8006993
,8679,2020,4,202004,Brisbane,Rockhampton,Brisbane - Rockhampton,308,393.6153846
,8680,2020,4,202004,Brisbane,Sydney,Brisbane - Sydney,144,184.027972
,8681,2020,4,202004,Brisbane,Townsville,Brisbane - Townsville,420,536.7482517
,8682,2020,4,202004,Broome,Perth,Broome - Perth,530,677.3251748
,8683,2020,4,202004,Bundaberg,Brisbane,Bundaberg - Brisbane,270,345.0524476
,8684,2020,4,202004,Cairns,Townsville,Cairns - Townsville,281.86,360.2091958
,8685,2020,4,202004,Canberra,Melbourne,Canberra - Melbourne,434,554.6398601
,8686,2020,4,202004,Canberra,Sydney,Canberra - Sydney,384,490.7412587
,8687,2020,4,202004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,286,365.5
,8688,2020,4,202004,Dubbo,Sydney,Dubbo - Sydney,374,477.9615385
,8689,2020,4,202004,Gold Coast,Sydney,Gold Coast - Sydney,218,278.5979021
,8690,2020,4,202004,Hobart,Melbourne,Hobart - Melbourne,128,163.5804196
,8691,2020,4,202004,Kalgoorlie,Perth,Kalgoorlie - Perth,358,457.513986
,8692,2020,4,202004,Karratha,Perth,Karratha - Perth,672,858.7972028
,8693,2020,4,202004,Melbourne,Mildura,Melbourne - Mildura,350,447.2902098
,8694,2020,4,202004,Melbourne,Perth,Melbourne - Perth,618,789.7867133
,8695,2020,4,202004,Melbourne,Sydney,Melbourne - Sydney,146,186.5839161
,8696,2020,4,202004,Paraburdoo,Perth,Paraburdoo - Perth,704,899.6923077
,8697,2020,4,202004,Perth,Newman,Perth - Newman,658,840.9055944
,8698,2020,4,202004,Perth,Port Hedland,Perth - Port Hedland,730,932.9195804
,8699,2020,4,202004,Perth,Sydney,Perth - Sydney,781,998.0961538
,8700,2020,4,202004,Sydney,Tamworth,Sydney - Tamworth,294,375.7237762
,8701,2020,4,202004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,366,467.7377622
,8702,2020,5,202005,Adelaide,Melbourne,Adelaide - Melbourne,130,166.1363636
,8703,2020,5,202005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,304.16,388.707972
,8704,2020,5,202005,Adelaide,Sydney,Adelaide - Sydney,162,207.0314685
,8705,2020,5,202005,Albury,Sydney,Albury - Sydney,335.2,428.3762238
,8706,2020,5,202005,Armidale,Sydney,Armidale - Sydney,342,437.0664336
,8707,2020,5,202005,Ballina,Sydney,Ballina - Sydney,155,198.0856643
,8708,2020,5,202005,Brisbane,Cairns,Brisbane - Cairns,194,247.9265734
,8709,2020,5,202005,Brisbane,Canberra,Brisbane - Canberra,470,600.6468531
,8710,2020,5,202005,Brisbane,Darwin,Brisbane - Darwin,650,830.6818182
,8711,2020,5,202005,Brisbane,Emerald,Brisbane - Emerald,414,529.0804196
,8712,2020,5,202005,Brisbane,Gladstone,Brisbane - Gladstone,326,416.6188811
,8713,2020,5,202005,Brisbane,Mackay,Brisbane - Mackay,351,448.5681818
,8714,2020,5,202005,Brisbane,Melbourne,Brisbane - Melbourne,226,288.8216783
,8715,2020,5,202005,Brisbane,Mount Isa,Brisbane - Mount Isa,794,1014.70979
,8716,2020,5,202005,Brisbane,Rockhampton,Brisbane - Rockhampton,308,393.6153846
,8717,2020,5,202005,Brisbane,Sydney,Brisbane - Sydney,144,184.027972
,8718,2020,5,202005,Brisbane,Townsville,Brisbane - Townsville,205,261.9842657
,8719,2020,5,202005,Broome,Perth,Broome - Perth,530,677.3251748
,8720,2020,5,202005,Cairns,Townsville,Cairns - Townsville,280.32,358.2411189
,8721,2020,5,202005,Canberra,Melbourne,Canberra - Melbourne,378,483.0734266
,8722,2020,5,202005,Canberra,Sydney,Canberra - Sydney,384,490.7412587
,8723,2020,5,202005,Coffs Harbour,Sydney,Coffs Harbour - Sydney,286,365.5
,8724,2020,5,202005,Dubbo,Sydney,Dubbo - Sydney,374,477.9615385
,8725,2020,5,202005,Gold Coast,Sydney,Gold Coast - Sydney,218,278.5979021
,8726,2020,5,202005,Hobart,Melbourne,Hobart - Melbourne,151,192.9737762
,8727,2020,5,202005,Kalgoorlie,Perth,Kalgoorlie - Perth,378,483.0734266
,8728,2020,5,202005,Karratha,Perth,Karratha - Perth,886,1132.283217
,8729,2020,5,202005,Launceston,Melbourne,Launceston - Melbourne,466,595.534965
,8730,2020,5,202005,Melbourne,Mildura,Melbourne - Mildura,350,447.2902098
,8731,2020,5,202005,Melbourne,Perth,Melbourne - Perth,618,789.7867133
,8732,2020,5,202005,Melbourne,Sydney,Melbourne - Sydney,192,245.3706294
,8733,2020,5,202005,Paraburdoo,Perth,Paraburdoo - Perth,704,899.6923077
,8734,2020,5,202005,Perth,Newman,Perth - Newman,658,840.9055944
,8735,2020,5,202005,Perth,Port Hedland,Perth - Port Hedland,365,466.4597902
,8736,2020,5,202005,Perth,Sydney,Perth - Sydney,776,991.7062937
,8737,2020,5,202005,Sydney,Tamworth,Sydney - Tamworth,294,375.7237762
,8738,2020,5,202005,Sydney,Wagga Wagga,Sydney - Wagga Wagga,366,467.7377622
,8739,2020,6,202006,Adelaide,Melbourne,Adelaide - Melbourne,142,181.472028
,8740,2020,6,202006,Adelaide,Perth,Adelaide - Perth,578,738.6678322
,8741,2020,6,202006,Adelaide,Port Lincoln,Adelaide - Port Lincoln,261.83,334.6114161
,8742,2020,6,202006,Adelaide,Sydney,Adelaide - Sydney,202,258.1503497
,8743,2020,6,202006,Albury,Sydney,Albury - Sydney,297.44,380.12
,8744,2020,6,202006,Armidale,Sydney,Armidale - Sydney,342,437.0664336
,8745,2020,6,202006,Ballina,Sydney,Ballina - Sydney,180,230.034965
,8746,2020,6,202006,Brisbane,Cairns,Brisbane - Cairns,348,444.7342657
,8747,2020,6,202006,Brisbane,Canberra,Brisbane - Canberra,470,600.6468531
,8748,2020,6,202006,Brisbane,Emerald,Brisbane - Emerald,633,808.9562937
,8749,2020,6,202006,Brisbane,Gladstone,Brisbane - Gladstone,205.21,262.2526399
,8750,2020,6,202006,Brisbane,Mackay,Brisbane - Mackay,324,414.0629371
,8751,2020,6,202006,Brisbane,Melbourne,Brisbane - Melbourne,346,442.1783217
,8752,2020,6,202006,Brisbane,Mount Isa,Brisbane - Mount Isa,831,1061.994755
,8753,2020,6,202006,Brisbane,Rockhampton,Brisbane - Rockhampton,312,398.7272727
,8754,2020,6,202006,Brisbane,Sydney,Brisbane - Sydney,184,235.1468531
,8755,2020,6,202006,Brisbane,Townsville,Brisbane - Townsville,485,619.8164336
,8756,2020,6,202006,Broome,Perth,Broome - Perth,675,862.6311189
,8757,2020,6,202006,Cairns,Townsville,Cairns - Townsville,281.86,360.2091958
,8758,2020,6,202006,Canberra,Melbourne,Canberra - Melbourne,378,483.0734266
,8759,2020,6,202006,Canberra,Sydney,Canberra - Sydney,384,490.7412587
,8760,2020,6,202006,Coffs Harbour,Sydney,Coffs Harbour - Sydney,286,365.5
,8761,2020,6,202006,Dubbo,Sydney,Dubbo - Sydney,344.13,439.788514
,8762,2020,6,202006,Gold Coast,Sydney,Gold Coast - Sydney,218,278.5979021
,8763,2020,6,202006,Hobart,Melbourne,Hobart - Melbourne,139,177.6381119
,8764,2020,6,202006,Kalgoorlie,Perth,Kalgoorlie - Perth,433,553.3618881
,8765,2020,6,202006,Karratha,Perth,Karratha - Perth,738,943.1433566
,8766,2020,6,202006,Launceston,Melbourne,Launceston - Melbourne,275,351.4423077
,8767,2020,6,202006,Melbourne,Mildura,Melbourne - Mildura,297.52,380.2222378
,8768,2020,6,202006,Melbourne,Perth,Melbourne - Perth,618,789.7867133
,8769,2020,6,202006,Melbourne,Sydney,Melbourne - Sydney,190,242.8146853
,8770,2020,6,202006,Melbourne,Newcastle,Melbourne - Newcastle,146,186.5839161
,8771,2020,6,202006,Perth,Newman,Perth - Newman,708,904.8041958
,8772,2020,6,202006,Perth,Port Hedland,Perth - Port Hedland,814,1040.269231
,8773,2020,6,202006,Perth,Sydney,Perth - Sydney,776,991.7062937
,8774,2020,6,202006,Port Macquarie,Sydney,Port Macquarie - Sydney,322,411.506993
,8775,2020,6,202006,Sydney,Tamworth,Sydney - Tamworth,294,375.7237762
,8776,2020,6,202006,Sydney,Wagga Wagga,Sydney - Wagga Wagga,366,467.7377622
,8777,2020,7,202007,Adelaide,Alice Springs,Adelaide - Alice Springs,378,475.5903614
,8778,2020,7,202007,Adelaide,Brisbane,Adelaide - Brisbane,467,587.5679862
,8779,2020,7,202007,Adelaide,Canberra,Adelaide - Canberra,598,752.3889845
,8780,2020,7,202007,Adelaide,Darwin,Adelaide - Darwin,1038,1305.986231
,8781,2020,7,202007,Adelaide,Gold Coast,Adelaide - Gold Coast,337,424.0051635
,8782,2020,7,202007,Adelaide,Melbourne,Adelaide - Melbourne,134,168.595525
,8783,2020,7,202007,Adelaide,Perth,Adelaide - Perth,578,727.2254733
,8784,2020,7,202007,Adelaide,Port Lincoln,Adelaide - Port Lincoln,261.83,329.4281067
,8785,2020,7,202007,Adelaide,Sydney,Adelaide - Sydney,150,188.7263339
,8786,2020,7,202007,Albury,Sydney,Albury - Sydney,297.44,374.2317384
,8787,2020,7,202007,Armidale,Sydney,Armidale - Sydney,281.29,353.9122031
,8788,2020,7,202007,Ballina,Sydney,Ballina - Sydney,164,206.3407917
,8789,2020,7,202007,Brisbane,Cairns,Brisbane - Cairns,254,319.5765921
,8790,2020,7,202007,Brisbane,Canberra,Brisbane - Canberra,594,747.3562823
,8791,2020,7,202007,Brisbane,Darwin,Brisbane - Darwin,684,860.5920826
,8792,2020,7,202007,Brisbane,Emerald,Brisbane - Emerald,535,673.1239243
,8793,2020,7,202007,Brisbane,Gladstone,Brisbane - Gladstone,205.21,258.1902065
,8794,2020,7,202007,Brisbane,Hobart,Brisbane - Hobart,309,388.7762478
,8795,2020,7,202007,Brisbane,Mackay,Brisbane - Mackay,258,324.6092943
,8796,2020,7,202007,Brisbane,Melbourne,Brisbane - Melbourne,230,289.3803787
,8797,2020,7,202007,Brisbane,Mount Isa,Brisbane - Mount Isa,470,591.3425129
,8798,2020,7,202007,Brisbane,Perth,Brisbane - Perth,690,868.141136
,8799,2020,7,202007,Brisbane,Proserpine,Brisbane - Proserpine,234,294.4130809
,8800,2020,7,202007,Brisbane,Rockhampton,Brisbane - Rockhampton,274,344.7401033
,8801,2020,7,202007,Brisbane,Sydney,Brisbane - Sydney,151,189.9845095
,8802,2020,7,202007,Brisbane,Townsville,Brisbane - Townsville,225,283.0895009
,8803,2020,7,202007,Brisbane,Newcastle,Brisbane - Newcastle,144,181.1772806
,8804,2020,7,202007,Broome,Perth,Broome - Perth,611,768.7452668
,8805,2020,7,202007,Bundaberg,Brisbane,Bundaberg - Brisbane,259,325.8674699
,8806,2020,7,202007,Cairns,Melbourne,Cairns - Melbourne,530,666.8330465
,8807,2020,7,202007,Cairns,Sydney,Cairns - Sydney,308,387.5180723
,8808,2020,7,202007,Cairns,Townsville,Cairns - Townsville,240.06,302.0376248
,8809,2020,7,202007,Canberra,Melbourne,Canberra - Melbourne,274.02,344.7652668
,8810,2020,7,202007,Canberra,Sydney,Canberra - Sydney,321,403.8743546
,8811,2020,7,202007,Coffs Harbour,Sydney,Coffs Harbour - Sydney,218,274.2822719
,8812,2020,7,202007,Darwin,Melbourne,Darwin - Melbourne,391,491.9466437
,8813,2020,7,202007,Darwin,Perth,Darwin - Perth,598,752.3889845
,8814,2020,7,202007,Darwin,Sydney,Darwin - Sydney,753,947.4061962
,8815,2020,7,202007,Dubbo,Sydney,Dubbo - Sydney,308.54,388.1974871
,8816,2020,7,202007,Gold Coast,Sydney,Gold Coast - Sydney,140,176.1445783
,8817,2020,7,202007,Hobart,Melbourne,Hobart - Melbourne,147,184.9518072
,8818,2020,7,202007,Hobart,Sydney,Hobart - Sydney,210,264.2168675
,8819,2020,7,202007,Kalgoorlie,Perth,Kalgoorlie - Perth,338,425.2633391
,8820,2020,7,202007,Karratha,Perth,Karratha - Perth,626,787.6179002
,8821,2020,7,202007,Launceston,Melbourne,Launceston - Melbourne,127,159.788296
,8822,2020,7,202007,Launceston,Sydney,Launceston - Sydney,138,173.6282272
,8823,2020,7,202007,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,350,440.3614458
,8824,2020,7,202007,Sunshine Coast,Sydney,Sunshine Coast - Sydney,310,390.0344234
,8825,2020,7,202007,Melbourne,Gold Coast,Melbourne - Gold Coast,199,250.3769363
,8826,2020,7,202007,Melbourne,Mildura,Melbourne - Mildura,297.52,374.3323924
,8827,2020,7,202007,Melbourne,Perth,Melbourne - Perth,694,873.1738382
,8828,2020,7,202007,Melbourne,Sydney,Melbourne - Sydney,175,220.1807229
,8829,2020,7,202007,Melbourne,Townsville,Melbourne - Townsville,234,294.4130809
,8830,2020,7,202007,Melbourne,Newcastle,Melbourne - Newcastle,128,161.0464716
,8831,2020,7,202007,Perth,Newman,Perth - Newman,438,551.080895
,8832,2020,7,202007,Perth,Port Hedland,Perth - Port Hedland,438,551.080895
,8833,2020,7,202007,Perth,Sydney,Perth - Sydney,674,848.010327
,8834,2020,7,202007,Port Macquarie,Sydney,Port Macquarie - Sydney,313,393.8089501
,8835,2020,7,202007,Proserpine,Sydney,Proserpine - Sydney,218,274.2822719
,8836,2020,7,202007,Sydney,Tamworth,Sydney - Tamworth,265,333.4165232
,8837,2020,7,202007,Sydney,Townsville,Sydney - Townsville,320,402.616179
,8838,2020,7,202007,Sydney,Wagga Wagga,Sydney - Wagga Wagga,301.89,379.8306196
,8839,2020,7,202007,Newcastle,Gold Coast,Newcastle - Gold Coast,138,173.6282272
,8840,2020,8,202008,Adelaide,Alice Springs,Adelaide - Alice Springs,468,588.8261618
,8841,2020,8,202008,Adelaide,Brisbane,Adelaide - Brisbane,236,296.929432
,8842,2020,8,202008,Adelaide,Canberra,Adelaide - Canberra,548,689.4802065
